BioStack-keo77	REG	62e5fd3	codex/keo-77-adversarial-corpus	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=130/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 21:03:00 -0400|m0r6aN|Add adversarial query evaluation corpus
BioStack-keo78-candidate-envelope	REG	86c4516	codex/keo-78-candidate-envelope-contract	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=110/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 08:26:07 -0400|m0r6aN|feat: add candidate evaluation envelope contract
BioStack-keo78-ci-report-artifact	REG	938b412	codex/keo-78-ci-report-artifact	origin/codex/keo-78-ci-report-artifact	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=101/0	uniqpatch=0	REMOTE_EXISTS;unpushed=0	2026-07-14 12:01:59 -0400|m0r6aN|docs(keo-78): record hosted artifact evidence
BioStack-keo78-corpus-inventory-report	REG	5af2357	codex/keo-78-corpus-inventory-report	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=97/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 14:24:49 -0400|m0r6aN|feat(keo-78): integrate corpus inventory report
BioStack-keo78-report-comparison	REG	ae1022f	codex/keo-78-report-comparison-integration	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=104/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 09:21:34 -0400|m0r6aN|feat(evaluation): embed structural comparison in report
BioStack-keo78-structural-comparator	REG	c935123	codex/keo-78-structural-comparator	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=106/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 09:07:41 -0400|m0r6aN|feat(evaluation): compare structural candidate declarations
BioStack-keo78-structural-snapshot-v2	REG	d694177	codex/keo-78-structural-evaluation-snapshot	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=114/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 07:36:10 -0400|m0r6aN|feat: add structural evaluation snapshot
BioStack-keo78-versioned-report-artifact	REG	480a204	codex/keo-78-versioned-report-artifact	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=112/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 08:05:06 -0400|m0r6aN|feat: persist versioned structural evaluation report
BioStack-keo80-deploy-readiness	REG	4a62964	codex/keo-80-deploy-readiness	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=95/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 14:56:24 -0400|m0r6aN|ci: require container app revision readiness
BioStack-keo80-ef-baseline	REG	5e09c75	codex/keo-80-ef-baseline	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=89/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 20:13:53 -0400|m0r6aN|fix(db): quote staged review check columns
BioStack-keo84-seo-ledger-023-20260726	REG	53ed0df	codex/keo84-seo-ledger-20260726	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=1337;unt=300	mainAB=58/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-26 12:45:33 -0400|m0r6aN|Authorize Sandy for NCCIH manual review (#232)
BioStack-keo84-seo-ledger-sparse-024-20260726	REG	1c907b9	codex/keo84-seo-ledger-sparse-20260726	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=58/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-26 14:24:50 -0400|m0r6aN|fix(seo): align public metadata with biostack.cc
BioStack-keo86-launch-marketing-plan-20260726	REG	e1f86d1	codex/keo86-launch-marketing-plan-20260726	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=58/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-26 14:56:38 -0400|m0r6aN|Document evidence-led BioStack launch plan
BioStack-main-regression-repair-20260725	REG	1adcfa6	codex/main-regression-repair-20260725	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=80/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-25 09:55:20 -0400|m0r6aN|Repair post-merge backend test wiring
BioStack-nuget-high-advisory-gate-20260727	REG	2fbba82	codex/nuget-high-advisory-gate-20260727	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=51/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-27 08:50:59 -0400|m0r6aN|Fix high-severity NuGet advisory gate
BioStack-p0-public-content-boundary-20260726	REG	dcabfd9	codex/p0-public-content-boundary-20260726	NO_UPSTREAM	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=58/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-26 14:32:39 -0400|m0r6aN|Enforce observational public content boundary
BioStack-production-readiness-phase2	NO_GIT	-	-	-	-	-	files=82;MB=10	-	-	-	-
BioStack-production-readiness	NO_GIT	-	-	-	-	-	files=142;MB=10	-	-	-	-
BioStack-release-governance	REG	2e41478	codex/production-readiness-phase2	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=155/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 07:12:48 -0400|m0r6aN|docs: record phase two remediation evidence
BioStack-sec-consent	REG	fb794ff	codex/sec-consent-version	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=154/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-13 14:00:28 -0400|m0r6aN|fix(security): bind consent to server version
BioStack-sec-container	REG	9858d50	codex/sec-backend-container	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=154/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-13 14:03:18 -0400|m0r6aN|fix(security): run backend container as nonroot
BioStack-sec-frontend-deps	REG	df6160e	codex/sec-frontend-postcss	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=153/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-13 15:54:03 -0400|m0r6aN|fix(frontend): pin patched Next.js PostCSS
BioStack-sec-link-analyzer	REG	6467fb7	codex/sec-link-analyzer	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=154/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-13 13:48:41 -0400|m0r6aN|fix(security): harden analyzer link fetches
BioStack-sec-magic-link	REG	3b2805f	codex/sec-magic-link-atomic	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=154/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-13 13:56:43 -0400|m0r6aN|fix(security): claim magic links atomically
BioStack-sec-provider-access	REG	32326c7	codex/sec-provider-access	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=154/1	uniqpatch=1	NO_REMOTE;unpushed=-	2026-07-13 13:52:39 -0400|m0r6aN|fix(security): make provider intake non-enumerating
BioStack-sec-receipts	REG	bd33142	codex/sec-receipt-authorization	origin/main	NOT_ANC	HAS_DIFF	mod=0;unt=0	mainAB=154/1	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 13:40:59 -0400|m0r6aN|fix(security): scope receipt reads to actor
BioStack-security-integration	REG	6ec378c	codex/security-integration	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=138/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-13 16:45:21 -0400|m0r6aN|docs(readiness): record hosted candidate checks
BioStack-track-b-biostack-rc-20260728	NO_GIT	-	-	-	-	-	files=84;MB=1	-	-	-	-
BioStack-verify-main-20260714	REG	212aef9	DETACHED	NO_UPSTREAM	ANCESTOR	NO_DIFF	mod=0;unt=0	mainAB=115/0	uniqpatch=0	NO_REMOTE;unpushed=-	2026-07-14 07:08:52 -0400|m0r6aN|Merge pull request #193 from m0r6aN/codex/production-readiness
BioStack-verify	NO_GIT	-	-	-	-	-	files=667;MB=14	-	-	-	-
